0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,1,1,-1,0.0,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7692307692307692,0.0,0.46153846153846156,0.34615384615384615,7263,1,1,1,-1,1,1,-1,-1,1,-1,0,-1,0.8870056497175142,0,0.5,-1
0,1,1,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.3333333333333333,0.1111111111111111,2349,1,1,-1,-1,1,1,-1,1,1,0,0,-1,1.0,0,0.33333333333333326,-1
0,1,1,1,0.0,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.16279069767441862,0.27906976744186046,0.2558139534883721,0.0,0.0,0.0,0.11627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,54,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.806451612903226,0.0,9187,1,1,-1,-1,1,1,-1,0,1,0,0,-1,1.0,1,0.0,-1
0,1,1,1,0.0,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,965,1,1,1,-1,1,1,-1,0,1,0,0,-1,1.0,1,0.0,-1
0,1,1,-1,0.0,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390,1,1,1,-1,1,1,-1,0,1,0,0,-1,1.0,0,0.0,-1
0,1,1,1,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.3076923076923077,0.15384615384615385,1221,1,1,-1,-1,1,1,-1,1,1,-1,0,-1,1.0,-1,1.0,-1
0,1,1,-1,0.0,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5135135135135135,0.0,0.21621621621621623,3.7567567567567566,25649,1,1,1,-1,1,1,-1,0,1,-1,0,-1,0.736322869955157,0,0.5135135135135135,-1
1,1,1,-1,0.4166666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.1,1.2,2675,1,1,1,-1,1,1,-1,0,1,-1,0,-1,0.9236641221374046,0,0.4,-1
0,1,1,-1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6956521739130435,0.0,0.08695652173913043,0.08695652173913043,3178,1,1,1,-1,1,1,-1,1,1,-1,0,1,0.04040404040404041,-1,0.826086956521739,-1
0,1,1,-1,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.72,0.76,27043,1,1,-1,-1,1,1,-1,0,1,-1,0,-1,0.9913419913419914,0,0.24,-1
0,1,1,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.5454545454545454,13555,1,1,-1,-1,1,1,-1,0,1,0,0,-1,0.8808664259927798,1,0.022727272727272728,-1
0,1,1,1,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,1.9777777777777779,0.6,14215,1,1,-1,-1,1,1,-1,0,1,-1,0,-1,0.8389513108614233,1,0.022222222222222223,-1
