iter	Logloss
0	0.6843331218
1	0.6762707888
2	0.668685532
3	0.6607188247
4	0.6532988519
5	0.6458283921
6	0.6388234389
7	0.6317257909
8	0.6250676053
9	0.6186270284
10	0.6126471537
11	0.6066676897
12	0.6005763185
13	0.5946634126
14	0.5892834287
15	0.5836798203
16	0.5783574428
17	0.5729488276
18	0.5676914273
19	0.5627127838
20	0.5576865431
21	0.5528458716
22	0.5488262618
23	0.5445242149
24	0.5402450863
25	0.536461502
26	0.5324034315
27	0.5283295106
28	0.524413231
29	0.5204469596
30	0.516811069
31	0.5133410579
32	0.5106462384
33	0.5070084102
34	0.5038278349
35	0.5010423173
36	0.4980958941
37	0.4951180575
38	0.4926634418
39	0.489745216
40	0.486542151
41	0.4841733648
42	0.4816439398
43	0.4791054476
44	0.4767686419
45	0.4741458702
46	0.4718564051
47	0.4692923844
48	0.467182537
49	0.4647307572
50	0.4628434794
51	0.4608168541
52	0.4587538365
53	0.4569338637
54	0.4550816205
55	0.4530541816
56	0.4513885008
57	0.4493303236
58	0.4474205176
59	0.4454231496
60	0.4433954156
61	0.4420532478
62	0.4404629589
63	0.4385737717
64	0.4371710333
65	0.4356348373
66	0.4339949313
67	0.4326376138
68	0.431353114
69	0.4301641886
70	0.4290190647
71	0.4278091381
72	0.4264216161
73	0.4251601502
74	0.4240019861
75	0.4225372964
76	0.4211540168
77	0.4201550749
78	0.4189075909
79	0.4178140012
80	0.4165340953
81	0.4151795111
82	0.413875029
83	0.4128519497
84	0.4118498203
85	0.4109354838
86	0.410082552
87	0.4089079037
88	0.4077934282
89	0.4067546654
90	0.4058665554
91	0.4049776729
92	0.4041901033
93	0.4032369339
94	0.4022902422
95	0.4013123426
96	0.4004189098
97	0.3994777334
98	0.3986474992
99	0.3976937755
100	0.3969600139
101	0.3963024989
102	0.3951827365
103	0.3945859666
104	0.3937651051
105	0.3927720378
106	0.3919729705
107	0.3912105828
108	0.3904068497
109	0.3897561588
110	0.3887324944
111	0.3878718633
112	0.3871896616
113	0.386551944
114	0.3859310777
115	0.3852128021
116	0.3845907398
117	0.3839201436
118	0.3831730391
119	0.3826425707
120	0.381983739
121	0.3812484991
122	0.3805970024
123	0.379965085
124	0.3792289187
125	0.3786620016
126	0.3779260534
127	0.3773794343
128	0.3768279262
129	0.3762090386
130	0.3756326668
131	0.3751943901
132	0.3747680679
133	0.3741497732
134	0.3736553762
135	0.373104987
136	0.3725162012
137	0.37182243
138	0.3713573982
139	0.370961822
140	0.3704148847
141	0.3699813482
142	0.3695291794
143	0.3690397432
144	0.3685043755
145	0.3680163047
146	0.3675070145
147	0.3669687672
148	0.3665102798
149	0.3659789413
150	0.3654624882
151	0.3650825827
152	0.3645715089
153	0.3642129459
154	0.3639278705
155	0.3633608174
156	0.3628057753
157	0.3624303431
158	0.361965704
159	0.3615648383
160	0.3612133588
161	0.3608493832
162	0.3603191714
163	0.359997786
164	0.3594252048
165	0.3590670371
166	0.3587426797
167	0.358343259
168	0.357718194
169	0.3573632754
170	0.357038184
171	0.3565101691
172	0.3561892892
173	0.3558398449
174	0.3554233701
175	0.3550249349
176	0.354783756
177	0.3543230563
178	0.3538555145
179	0.3535411996
180	0.353250591
181	0.3529803881
182	0.352705019
183	0.3524656314
184	0.3521815672
185	0.3518691412
186	0.3513804031
187	0.3510315516
188	0.3508125878
189	0.3504996434
190	0.3501920141
191	0.3499169863
192	0.3496292521
193	0.3492761916
194	0.3490808032
195	0.3488563369
196	0.3484669869
197	0.348235853
198	0.3479803764
199	0.3477212657
